parcelid,neighborhood,latitude,longitude
04524419,E508,35.28535902,-80.82181645
13911319,N719,35.21302063,-80.62323274
13911608,N719,35.21280449,-80.62491848
13917308,N917,35.21961589,-80.58150063
13933218,N920,35.21858144,-80.59978932
13942107,N904,35.21238535,-80.57805237
00912286,A925,35.43592004,-80.8606732
00922145,A921,35.41749742,-80.8788776
00922162,A921,35.41540936,-80.87811541
00912712,A925,35.43894044,-80.85613053
00924143,A930,35.43486127,-80.86057511
00915305,A913,35.43651574,-80.89754973
00917172,A912,35.43977288,-80.8878586
12106820,M312,35.20761177,-80.85737069
04523422,E513,35.28960664,-80.81575516
00926145,A911,35.42447231,-80.88738764
00922184,A921,35.41832915,-80.87957039
12704720,M711,35.20973251,-80.81782414
05722202,F715,35.26932783,-80.92980727
02111755,C103,35.40020124,-80.76757232
14915123,O911,35.17861199,-80.87401394
19926205,T903,35.16156415,-80.99395221
19926271,T903,35.16419652,-80.99620692
22731156,W746,35.10058254,-80.72375838
05111365,F130,35.32314282,-80.68870445
04529135,E525,35.28767316,-80.82927054
01515266,B507,35.38552099,-80.91073444
03523413,D521,35.2969559,-80.93077688
19919531,T903,35.15681153,-80.97907709
19507339,T524,35.15651519,-80.65868546
19507358,T527,35.16018472,-80.65863001
10720351,K722,35.25536604,-80.72246982
02929338,C939,35.38672202,-80.78356274
22915729,W936,35.05714997,-80.7868787
12901712,M912,35.21918047,-80.80846618
18303237,S321,35.16784886,-80.80934362
18306303,S321,35.1552819,-80.81591105
18308119,S327,35.16209016,-80.80507476
12904314,M911,35.21619903,-80.79867652
12908213,M910,35.20911425,-80.79280283
18505522,S520,35.16691044,-80.79850122
18506142,S510,35.17033151,-80.79007338
18514111,S540,35.16433504,-80.78321034
18515213,S511,35.16585282,-80.77535757
13108104,N110,35.20570135,-80.78100762
05505122,F507,35.27732261,-80.95070636
05505207,F507,35.27928363,-80.95085803
21902342,V913,35.10355217,-80.96299381
21902377,V913,35.10352119,-80.9643382
14110543,O111,35.17281721,-80.95446146
21308209,V321,35.12316497,-80.77161375
22301433,W318,35.05934386,-80.87793485
02976712,C932,35.39381381,-80.75617202
02318420,C330,35.33568586,-80.94634984
03145356,D109,35.30842092,-80.98684583
13515217,N502,35.18052487,-80.70531612
04532846,E526,35.29820295,-80.83435204
21719326,V708,35.07477247,-81.04318519
05325340,F313,35.2891855,-80.97918978
20101659,U123,35.16216353,-80.9254042
00535708,A511,35.45380252,-80.85596909
04326226,E326,35.31989852,-80.81470272
04532511,E507,35.29453737,-80.8360496
10804430,K935,35.2339839,-80.70615397
04535332,E506,35.28946479,-80.82187649
00924201,A930,35.43489615,-80.85895979
00916123,A912,35.44270952,-80.89293109
00929506,A926,35.43680197,-80.87427924
00942314,A930,35.43471542,-80.85424466
00943373,A926,35.43221118,-80.88754032
